VOI246,A. I. del Bajío,A. I. Lic. Gustavo Díaz Ordaz,0:40,7:26,08:06AM CST
SLI8174,A.I. Federal de Culiacan,A. I. Benito Juárez,1:52,8:38,11:30AM CST
VTM501	,A.I. Federal de Culiacan,A. I. Manuel Márquez de León,1:10,6:40,09:36AM MST
ESF321,A.I. Federal de Culiacan,A. I. Ponciano Arriaga,1:00,22:21,12:21AM MST
SLI8174,A.I. Federal de Culiacan,A. I. Benito Juárez,1:52,20:38,11:30AM CST
VIV5011,A.I. Federal de Culiacan,A. I. Gral. Abelardo L. Rodríguez,1:52,22:00,11:52AM MST
SLI2133,A. I. Federal del Valle del Fuerte,A. I. Benito Juárez,2:44,16:49,7:33 PM CST
VIV4363,A. I. Federal del Valle del Fuerte,A. I. Gral. Mariano Escobedo,2:15,20:51,11:06 PM CST
XA-AEA,A. I. Francisco Sarabia,A. I. Gral. Ignacio Pesqueira García,0:29,19:18, 07:47PM MST
SLI109,A. I. Francisco Sarabia,A. I. Benito Juárez,1:16,18:24, 07:40PM CST
N43AG,A. I. Francisco Sarabia,A. I. Gral. Roberto Fierro Villalobos,0:08,17:09, 05:01PM MST
SLI107,A. I. Francisco Sarabia,A. I. Benito Juárez,1:12,14:58, 04:10PM CST
SLI8026,A. I. Francisco Sarabia,A. I. Benito Juárez,1:00,14:57, 03:57PM CST
XA-AEA,A. I. Francisco Sarabia,A. I. Plan de Guadalupe,0:28,14:24, 02:52PM CST
SLI105,A. I. Francisco Sarabia,A. I. Benito Juárez,1:08,12:21, 01:29PM CST
SLI9133,A. I. Francisco Sarabia,A. I. Benito Juárez,1:08,12:21, 01:29PM CST
LCT814,A. I. Francisco Sarabia,A. I. Abraham González,0:52,10:00, 10:52AM MDT
VOI657,A. I. Francisco Sarabia,A. I. Benito Juárez,1:16,9:41, 10:57AM CST
SLI103,A. I. Francisco Sarabia,A. I. Benito Juárez,1:08,9:14, 10:22AM CST
SLI7954,A. I. Francisco Sarabia,A. I. Benito Juárez,0:56,9:14, 10:10AM CST
VIV1269,A. I. Francisco Sarabia,A. I. Benito Juárez,1:11,8:51, 10:02AM CST
VOI801,A. I. Gral. y Lic. Ignacio López Rayón,A. I. Gral. Abelardo L. Rodríguez,3:09,13:42,03:37PM 
VOI844,A. I. Gral. Abelardo L. Rodríguez,A. I. Amado Nervo ,2:42, 05:47 , 08:01AM MST
VOI464,A. I. Gral. Abelardo L. Rodríguez,A. I. Hermanos Serdán ,3:05, 05:07 , 09:00AM CST
VOI454,A. I. Gral. Abelardo L. Rodríguez,A. I. Guadalupe Victoria ,2:29, 03:03 , 06:13AM CST
VOI5424,A. I. Gral. Abelardo L. Rodríguez,A. I. Miguel Hidalgo y Costilla ,2:39, 02:50 , 06:12AM CST
VOI432,A. I. Gral. Abelardo L. Rodríguez,A. I. Miguel Hidalgo y Costilla ,2:46, 02:48 , 06:11AM CST
VOI830,A. I. Gral. Abelardo L. Rodríguez,A. I. Gral. Leobardo C. Ruiz ,2:26, 02:37 , 05:49AM CST
AMX193,A. I. Gral. Abelardo L. Rodríguez,A. I. Benito Juárez ,3:17, 02:31 , 06:18AM CST
VOI400,A. I. Gral. Abelardo L. Rodríguez,A. I. del Bajío ,2:36, 02:06 , 05:26AM CST
VOI540,A. I. Gral. Abelardo L. Rodríguez,A. I. Xoxocotlán ,4:04, 01:45 , 06:28AM CST
VIV3115,A. I. Gral. Abelardo L. Rodríguez,A. I. Miguel Hidalgo y Costilla ,2:24, 01:37 , 05:01AM CST
VOI490,A. I. Gral. Abelardo L. Rodríguez,A. I. Lic. Jesús Terán Peredo ,2:42, 01:35 , 05:02AM CST
VIV1249,A. I. Gral. Abelardo L. Rodríguez,A. I. Benito Juárez ,2:53, 01:10 , 04:55AM CST
VOI814,A. I. Gral. Abelardo L. Rodríguez,A. I. Benito Juárez ,3:10, 01:05 , 04:49AM CST
VOI408,A. I. Gral. Abelardo L. Rodríguez,A. I. del Bajío ,2:41, 01:03 , 04:28AM CST
VIV3113,A. I. Gral. Abelardo L. Rodríguez,A. I. Miguel Hidalgo y Costilla ,2:19, 12:56 , 04:15AM CST
VOI428,A. I. Gral. Abelardo L. Rodríguez,A. I. Miguel Hidalgo y Costilla ,2:35, 12:48 , 04:13AM CST
VOI440,A. I. Gral. Abelardo L. Rodríguez,A. I. Gral. Francisco J. Múgica ,2:58, 12:45 , 04:25AM CST
VOI530,A. I. Gral. Abelardo L. Rodríguez,A. I. Gral. Juan N. Álvarez ,3:22, 12:35 , 04:39AM CST
VIV5020,A. I. Gral. Abelardo L. Rodríguez,A. I. Gral. Francisco J. Múgica ,2:36, 12:14 , 03:50AM CST
VOI810,A. I. Gral. Abelardo L. Rodríguez,A. I. Benito Juárez ,3:03, 12:10 , 03:53AM CST
VIV1443,A. I. Gral. Fco. Javier Mina,A. I. Benito Juárez,0:39,7:50,08:29 AM CST
VOI659,A. I. Gral. Fco. Javier Mina,A. I. Benito Juárez,0:41,8:42,09:23 AM CDT
SLI9102,A. I. Gral. Fco. Javier Mina,A. I. Benito Juárez,0:39,8:48,09:27 AM CST
SLI2411,A. I. Gral. Fco. Javier Mina,A. I. Benito Juárez,0:39,8:48,09:27 AM CDT
VIV2153,A. I. Gral. Fco. Javier Mina,A. I. de Cancún,2:34,9:55,12:29 PM EST
LCT610,A. I. Gral. Fco. Javier Mina,A. I. de Ciudad del Carmen,1:15,12:00,01:15 PM CST
N250XX,A. I. Gral. Fco. Javier Mina,A. I. Ponciano Arriaga,0:44,12:43,01:27 PM CST
XA-EYR,A. I. Gral. Fco. Javier Mina,A. I. Gral. Lucio Blanco,0:08,13:40,04:48 PM CDT
